date,price,last_sale_price_in _hour,average_price,sd_of_purchase_prices_in_hour,sd_of _sale_prices_in_hour,number_of_trades,number_of_buys,number_of_sales,number_of_announcements,order_flow,change_price,log_price
8/05/96 13:00,1.5236,1.5235,1.52355,0.431610795,0.349350046,159,86,-73,0,13,-0.000852879,-0.0003704
8/05/96 14:00,1.521,1.5205,1.52075,1.252512626,1.665946814,538,221,-317,0,-96,-0.001707942,-0.00074175
8/05/96 15:00,1.5206,1.5204,1.5205,0.85369074,1.007998316,545,263,-282,2,-19,-0.000263019,-0.000114228
8/05/96 16:00,1.5185,1.5185,1.5185,1.127446834,1.358112549,404,200,-204,4,-4,-0.001381988,-0.00060019
8/05/96 17:00,1.5153,1.5155,1.5154,1.597417423,1.132542059,397,194,-203,0,-9,-0.002109566,-0.000916173
8/05/96 18:00,1.5145,1.5152,1.51485,0.610513941,0.456186432,129,51,-78,0,-27,-0.000528088,-0.000229346
9/05/96 6:00,1.5151,1.515,1.51505,0.538516481,0.177281052,24,11,-13,0,-2,0.000396092,0.000172021
9/05/96 7:00,1.5154,1.5152,1.5153,0.48222967,0.399444058,78,32,-46,0,-14,0.000197987,8.59847E-05
9/05/96 8:00,1.515,1.5156,1.5153,0.790233951,0.732523658,215,105,-110,0,-5,-0.000263992,-0.00011465
9/05/96 9:00,1.5148,1.513,1.5139,0.478317759,0.708979206,305,162,-143,1,19,-0.000132022,-5.73364E-05
9/05/96 10:00,1.5165,1.5161,1.5163,0.473782331,0.526494985,260,139,-121,0,18,0.001121631,0.000487118
9/05/96 11:00,1.516,1.516,1.516,0.419956708,0.356753034,263,129,-134,1,-5,-0.000329761,-0.000143213
9/05/96 12:00,1.5173,1.5182,1.51775,0.586915409,0.701945349,215,122,-93,1,29,0.000857152,0.000372257
9/05/96 13:00,1.5155,1.5153,1.5154,0.68285275,0.708979206,234,107,-127,1,-20,-0.001187022,-0.000515517
9/05/96 14:00,1.5153,1.5168,1.51605,0.638831794,0.599178731,251,113,-138,4,-25,-0.000131978,-5.73175E-05
9/05/96 15:00,1.5168,1.5165,1.51665,0.568024221,0.717318238,255,139,-116,3,23,0.000989413,0.000429697
9/05/96 16:00,1.5169,1.517,1.51695,0.78407444,0.717476639,240,115,-125,0,-10,6.59E-05,2.86313E-05
9/05/96 17:00,1.517,1.5145,1.51575,0.578595478,0.812543705,162,89,-73,2,16,6.59E-05,2.86295E-05
9/05/96 18:00,1.5167,1.5172,1.51695,0.447213596,0.550206573,64,30,-34,0,-4,-0.000197778,-8.5894E-05
10/05/96 6:00,1.5206,1.5206,1.5206,0.238746728,0.579254447,20,9,-11,0,-2,0.002568072,0.001115299
10/05/96 7:00,1.5203,1.5204,1.52035,0.171225529,0.669407246,91,59,-32,0,27,-0.00019731,-8.56906E-05
10/05/96 8:00,1.5194,1.5194,1.5194,0.791383522,0.923883437,199,99,-100,0,-1,-0.000592164,-0.000257173
10/05/96 9:00,1.5183,1.5182,1.51825,0.701945349,0.677428292,205,102,-103,1,-1,-0.000724232,-0.00031453
10/05/96 10:00,1.5189,1.5183,1.5186,0.376184996,0.223606798,189,98,-91,1,7,0.000395101,0.00017159
